,0
prior_actual,0.8124
node2vec_embeddings(all),0.1097
osrm_time,0.0187
osrm_distance,0.0095
prior_ratio,0.008
dst_indeg,0.0052
prior_n,0.005
src_outdeg,0.0037
dst_btw,0.0034
tod_code,0.0033
actual_distance,0.0032
dst_pr,0.0031
start_hour,0.003
src_pr,0.0025
src_btw,0.0024
is_ftl,0.0021
speed_kmph_osrm,0.002
dow,0.0017
is_weekend,0.0014
